NORAD_ID,OBJECT_NAME,INCLINATION,RAAN,ECCENTRICITY,ARG_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,BSTAR,EPOCH
01964,DEBRIS_01964,32.1976,169.2569,0.0175801,350.1660,9.5560,14.26266833,35510-3,26099.48862200
02009,DEBRIS_02009,95.8353,215.3709,0.0121993,325.5521,33.7472,8.68991195,11644-2,26098.75595909
02011,DEBRIS_02011,41.1987,57.5828,0.0226172,296.9104,189.7221,13.40958657,82832-3,26099.21331632
02050,DEBRIS_02050,32.2648,281.4961,0.0082628,187.0425,172.9060,14.51707597,26685-3,26098.86477147
02088,DEBRIS_02088,59.7150,75.8894,0.0077400,3.4192,356.7369,14.62161729,33815-3,26098.33098748
2092,DEBRIS_2092,79.8637,59.4508,0.1295958,247.4522,98.4547,12.35007388,20560-3,26099.56892537
02097,DEBRIS_02097,90.0005,338.1902,0.0041610,41.2731,110.8714,13.66385694,64696-3,26099.13793889
02118,DEBRIS_02118,98.0479,234.7374,0.0127162,74.4444,287.0746,14.46846702,18516-3,26099.29134540
2140,DEBRIS_2140,89.9614,50.8353,0.0317427,23.3176,338.2014,13.48418077,40277-3,26099.83016168
2141,DEBRIS_2141,90.2393,256.7149,0.0114497,285.2699,73.5849,14.05802390,32646-3,26098.87854341
2153,DEBRIS_2153,79.7387,133.0440,0.1281337,189.2204,306.1980,12.39149125,26104-3,26099.50611226
2154,DEBRIS_2154,97.8640,217.9716,0.0046818,166.1819,194.0682,14.71670024,23790-3,26099.56881395
2177,DEBRIS_2177,98.9720,83.2092,0.0127257,206.4877,152.9791,14.80335634,30215-3,26099.50236469
02223,DEBRIS_02223,100.7353,129.5745,0.0093549,2.2837,150.2875,12.87770781,76173-4,26098.55891494
02224,DEBRIS_02224,101.1541,23.0271,0.0138065,0.6072,153.9888,12.52172993,19101-3,26099.27767317
02226,DEBRIS_02226,89.0546,313.5244,0.0245592,244.8018,112.7488,13.51264756,20254-3,26098.57127599
02256,DEBRIS_02256,86.9416,165.3517,0.0030564,232.6149,127.1873,7.93540528,-51895-1,26099.20915420
02327,DEBRIS_02327,144.1955,289.8616,0.0031201,21.6892,338.5118,14.05567536,75914-3,26099.34172108
2329,DEBRIS_2329,144.2869,111.0706,0.0021157,98.0383,315.2414,13.92596707,83983-3,26099.86446316
02334,DEBRIS_02334,55.6756,175.6582,0.0582482,267.8692,85.5473,13.12227867,86572-3,26099.24065894
2337,DEBRIS_2337,144.2299,215.7551,0.0006054,272.9762,216.1286,13.72282977,14117-3,26099.90067556
02353,DEBRIS_02353,89.4024,18.2070,0.0149295,279.8151,78.6186,13.77505481,22461-3,26099.21706708
02359,DEBRIS_02359,86.8638,14.4801,0.1249742,154.6728,212.1152,8.71685147,42671+0,26098.45782747
02361,DEBRIS_02361,87.3840,187.2413,0.0133298,345.9152,13.8005,8.66268625,57432-3,26099.18766380
02362,DEBRIS_02362,85.1789,331.3291,0.2579762,109.5464,280.0226,8.86204361,29708-1,26099.36717137
2364,DEBRIS_2364,87.5721,288.0660,0.0621241,109.5763,257.3219,8.67356789,12721-1,26098.92940852
2365,DEBRIS_2365,87.3138,104.9570,0.0170562,296.8805,61.4708,8.67657428,28099-1,26098.95280271
02367,DEBRIS_02367,84.3005,78.3627,0.2872553,193.1986,157.4694,9.02629775,14748-1,26097.36639594
